"Timestamp","What Is your Age?","What is your gender?","What is your Ethnicity?","Employment Status","What Faculty Are You Part of?","How much do you know about ChatPT?","How often do you use ChatGPT?","How do you think ChatGPT will affect the learning process at post-secondary schools?","ChatGPT has potential for misuse with malicious intent. How necessary do you think censorship is for ChatGPT?","All ChatGPT generated text should be 'watermarked'","For what do you think the use of ChatGPT counts as plagiarism? Check all that apply.","ChatGPT should be incorporated into the post-secondary curriculum."
"2023/03/20 7:44:22 PM AST","18 - 24","Female","Asian","Full-time student","Faculty of Science","3","2","3","8","5","For Essays;For Computer Code","7"
"2023/03/20 7:44:40 PM AST","18 - 24","Male","Asian","Unemployed","Faculty of Science","7","5","5","5","5","For Generating Ideas;For Computer Code;For Feedback","8"
"2023/03/20 7:45:34 PM AST","18 - 24","Female","Asian","Full-time student","Faculty of Science","4","4","7","5","6","For Essays;For Homework (for completion mark);For Computer Code;For Feedback","7"
"2023/03/20 7:46:54 PM AST","18 - 24","Female","Asian","Full-time student","Faculty of Science","1","1","3","7","9","For Generating Ideas;For Essays;For Homework (for completion mark);For Computer Code;For Feedback","3"
"2023/03/20 7:56:48 PM AST","18 - 24","Female","Other","Full-time student","Faculty of Science","2","1","6","6","1","For Essays","5"
"2023/03/20 9:35:23 PM AST","18 - 24","Female","Asian","Employed part-time","Faculty of Arts","3","1","5","5","5","For Generating Ideas;For Feedback","3"
"2023/03/20 10:37:03 PM AST","18 - 24","Female","Other","Full-time student","Faculty of Science","1","1","6","7","6","For Essays;For Homework (for completion mark)","6"
"2023/03/21 8:33:37 AM AST","18 - 24","Male","Asian","Full-time student","Faculty of Engineering and Architectural Sciences","7","6","7","5","6","For Essays","7"
"2023/03/22 8:08:05 AM AST","18 - 24","Male","Arab / Middle Eastern","Full-time student","Faculty of Engineering and Architectural Sciences","5","2","5","6","7","For Essays;For Homework (for completion mark)","4"
"2023/03/22 1:56:07 PM AST","18 - 24","Female","Black / African American","Full-time student","Faculty of Science","7","9","8","7","7","For Generating Ideas;For Essays;For Homework (for completion mark)","9"
"2023/03/22 1:57:32 PM AST","18 - 24","Non - Binary","White / Caucasian","Employed part-time","Faculty of Business","6","7","6","8","6","For Essays;For Computer Code","7"
"2023/03/22 1:58:57 PM AST","18 - 24","Male","White / Caucasian","Employed part-time","Faculty of Engineering and Architectural Sciences","6","7","6","4","3","For Generating Ideas;For Essays;For Homework (for completion mark)","6"
"2023/03/22 2:00:30 PM AST","18 - 24","Female","Black / African American","Full-time student","Faculty of Communication and Design","7","6","9","6","6","For Essays","7"
"2023/03/22 2:38:57 PM AST","18 - 24","Male","Arab / Middle Eastern","Full-time student","Faculty of Business","9","6","7","8","1","For Essays;For Homework (for completion mark)","9"
"2023/03/22 2:39:15 PM AST","18 - 24","Male","Arab / Middle Eastern","Full-time student","Faculty of Business","6","4","3","5","4","For Computer Code","7"
"2023/03/22 2:41:19 PM AST","18 - 24","Male","Arab / Middle Eastern","Full-time student","Faculty of Business","7","4","5","9","3","For Essays;For Homework (for completion mark)","4"
"2023/03/22 5:22:05 PM AST","18 - 24","Male","Arab / Middle Eastern","Full-time student","Faculty of Science","9","5","8","3","3","For Homework (for completion mark)","2"
"2023/03/22 5:26:09 PM AST","18 - 24","Male","Arab / Middle Eastern","Full-time student","Faculty of Engineering and Architectural Sciences","9","9","9","3","4","For Feedback","7"
"2023/03/22 6:50:38 PM AST","18 - 24","Female","Arab / Middle Eastern","Full-time student","Faculty of Business","5","2","5","4","5","For Essays;For Homework (for completion mark);For Computer Code","6"
"2023/03/23 9:21:11 AM AST","25 - 34","Male","Arab / Middle Eastern","Unemployed","Faculty of Business","4","3","6","5","5","For Essays;For Computer Code","9"
"2023/03/23 1:35:16 PM AST","18 - 24","Female","Asian","Full-time student","Faculty of Science","6","3","5","6","7","For Essays;For Computer Code","6"
"2023/03/23 1:35:20 PM AST","18 - 24","Male","Asian","Full-time student","Faculty of Science","7","5","4","3","7","For Essays;For Homework (for completion mark)","3"
"2023/03/23 1:36:01 PM AST","18 - 24","Male","Asian","Full-time student","Faculty of Science","7","5","7","7","7","For Essays;For Homework (for completion mark)","5"
"2023/03/23 1:36:37 PM AST","18 - 24","Female","White / Caucasian","Full-time student","Faculty of Science","5","3","5","5","5","For Generating Ideas","5"
"2023/03/23 5:39:39 PM AST","18 - 24","Male","Asian","Unemployed","Faculty of Science","7","6","3","6","5","For Homework (for completion mark);For Computer Code","4"
"2023/03/23 5:41:21 PM AST","18 - 24","Male","Asian","Unemployed","Faculty of Science","9","6","4","3","6","For Generating Ideas;For Essays;For Homework (for completion mark);For Computer Code","7"
"2023/03/23 5:41:58 PM AST","25 - 34","Male","Asian","Full-time student","Faculty of Science","7","7","5","7","5","For Generating Ideas;For Essays;For Homework (for completion mark);For Computer Code;For Feedback","5"
"2023/03/23 5:42:19 PM AST","18 - 24","Female","Prefer not to say","Unemployed","Faculty of Science","5","3","5","6","5","For Essays;For Homework (for completion mark);For Computer Code","9"
"2023/03/23 5:42:20 PM AST","18 - 24","Female","Asian","Full-time student","Faculty of Science","5","7","5","7","1","For Essays","9"
"2023/03/23 5:42:30 PM AST","18 - 24","Female","Asian","Full-time student","Faculty of Science","6","6","4","7","2","For Essays","7"
"2023/03/23 5:42:38 PM AST","18 - 24","Male","Asian","Full-time student","Faculty of Science","8","8","7","4","7","For Essays;For Homework (for completion mark)","7"
"2023/03/23 5:43:05 PM AST","18 - 24","Male","Other","Full-time student","Faculty of Science","5","3","5","6","7","For Essays;For Homework (for completion mark);For Computer Code","6"
